song_title,artist,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
Funky Friday,"Dave,Fredo,",79,0.535,0.107,125.066,0.196,0.0783,0,4,0.975,1,182741,-7.227,0.671,1
Happier,"Marshmello,Bastille,",99,0.792,0.167,100.015,0.0452,0.191,0,4,0.687,5,214290,-2.749,0.671,1
Eastside (with Halsey & Khalid),"benny blanco,Halsey,Khalid,",99,0.68,0.116,89.391,0.321,0.555,0,4,0.56,6,173800,-7.648,0.319,0
Promises (with Sam Smith),"Calvin Harris,Sam Smith,Jessie Reyez,",98,0.768,0.325,123.07,0.0394,0.0119,4.91e-06,4,0.781,11,213309,-5.991,0.486,1
I Love It (& Lil Pump),"Kanye West,Lil Pump,",100,0.522,0.259,104.053,0.33,0.0114,0,4,0.901,2,127947,-8.304,0.329,1
Electricity (with Dua Lipa),"Silk City,Dua Lipa,Diplo,Mark Ronson,",94,0.67,0.338,118.159,0.0473,0.0104,3.33e-06,4,0.588,0,238173,-6.439,0.505,1
Let You Love Me,"Rita Ora,",89,0.854,0.0773,94.419,0.198,0.288,0,4,0.531,10,190000,-3.149,0.456,1
In My Mind,"Dynoro,Gigi D'Agostino,",98,0.77,0.118,125.905,0.149,0.176,1.1e-05,4,0.694,6,184560,-5.335,0.163,1
All I Am,"Jess Glynne,",87,0.669,0.184,122.007,0.0373,0.0445,0,4,0.74,0,218868,-5.199,0.536,1
Taste (feat. Offset),"Tyga,Offset,",96,0.559,0.101,97.994,0.12,0.0236,0,4,0.884,0,232959,-7.442,0.342,1
Shallow,"Lady Gaga,Bradley Cooper,",82,0.385,0.231,95.799,0.0308,0.371,0,4,0.572,7,215733,-6.362,0.323,1
High Hopes,"Panic! At The Disco,",92,0.904,0.064,82.014,0.0618,0.193,0,4,0.579,5,190947,-2.729,0.681,1
Back & Forth,"MK,Jonas Blue,Becky Hill,",80,0.816,0.0222,121.993,0.0322,0.0181,0,4,0.684,10,196215,-5.211,0.702,0
Be Alright,"Dean Lewis,",96,0.586,0.0813,126.684,0.0362,0.697,0,4,0.553,11,196373,-6.319,0.443,1
Body (feat. brando),"Loud Luxury,brando,",75,0.764,0.0543,121.958,0.038,0.0476,9.44e-05,4,0.752,1,163216,-4.399,0.582,1
Lucid Dreams,"Juice WRLD,",98,0.566,0.34,83.903,0.2,0.349,0,4,0.511,6,239836,-7.23,0.218,0
Shotgun,"George Ezra,",93,0.735,0.242,115.741,0.0457,0.286,0,4,0.672,5,201287,-4.733,0.754,1
God is a woman,"Ariana Grande,",94,0.658,0.237,145.031,0.0558,0.0233,6e-05,4,0.602,1,197547,-5.934,0.268,1
