song_id,song_title,artist,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode,youtube_view_count,youtube_video_title
spotify:track:5ygDXis42ncn6kYG14lEVG,Baby Shark,[Pinkfong],77,0.84,0.341,115.062,0.227,0.245,0,4,0.825,7,96333,-3.651,0.52,1,1956582159,Baby Shark Dance | Sing and Dance! | Animal Songs | PINKFONG Songs for Children
spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B),"[Maroon 5, Cardi B]",86,0.541,0.13,124.959,0.0505,0.568,0,4,0.851,0,235545,-6.825,0.448,1,1300452389,Maroon 5 - Girls Like You ft. Cardi B
spotify:track:6De0lHrwBfPfrhorm9q1Xl,Me Rehúso,[Danny Ocean],83,0.804,0.0494,104.823,0.0677,0.0231,0,4,0.744,1,205715,-6.327,0.426,1,1229501096,Danny Ocean -  Me Rehúso (Official Audio)
spotify:track:1j6xOGusnyXq3l6IryKF3G,Déjala Que Vuelva (feat. Manuel Turizo),"[Piso 21, Manuel Turizo]",74,0.788,0.0753,170.019,0.0785,0.0482,0,4,0.681,1,220117,-4.323,0.839,1,1216075058,Piso 21 - Déjala Que Vuelva (feat. Manuel Turizo) (Video Oficial)
spotify:track:2ijef6ni2amuunRoKTlgww,Sin Pijama,"[Becky G, Natti Natasha]",90,0.745,0.104,94.014,0.0464,0.354,2.93E-05,4,0.791,11,188560,-3.695,0.82,0,1071141995,Becky G Natti Natasha - Sin Pijama (Video Oficial)
spotify:track:6DCZcSspjsKoFjzjrWoCdn,God's Plan,[Drake],90,0.449,0.552,77.169,0.109,0.0332,8.29E-05,4,0.754,7,198973,-9.211,0.357,1,879356627,Drake - God's Plan
spotify:track:5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,[James Arthur],83,0.557,0.0902,85.043,0.059,0.695,0,4,0.358,10,211467,-7.398,0.494,1,750911079,James Arthur - Say You Won't Let Go
spotify:track:6jA8JUuPCGYjFcgw0AoM5T,Me Niego,"[Reik, Ozuna, Wisin]",85,0.779,0.636,94.023,0.0972,0.0543,0,4,0.777,0,221653,-4.449,0.768,0,719642401,Reik - Me Niego ft. Ozuna Wisin (Video Oficial)
spotify:track:58q2HKrzhC3ozto2nDdN4z,I Like It,"[Cardi B, Bad Bunny, J Balvin]",92,0.726,0.372,136.048,0.129,0.099,0,4,0.816,5,253390,-3.998,0.65,0,703214674,Cardi B Bad Bunny & J Balvin - I Like It (Official Music Video)
spotify:track:48zFZh27QU5qsrBjn4C2FA,Vaina Loca,"[Ozuna, Manuel Turizo]",84,0.805,0.203,93.983,0.0752,0.315,0,4,0.754,6,176133,-4.249,0.555,1,648666374,Vaina Loca - Ozuna x Manuel Turizo (Video Oficial)
spotify:track:3ee8Jmje8o58CHK66QrVC2,SAD!,[XXXTENTACION],94,0.613,0.123,75.023,0.145,0.258,0.00372,4,0.74,8,166606,-4.88,0.473,1,574263709,XXXTENTACION - SAD!
spotify:track:00EPIEnX1JFjff8sC6bccd,No Me Acuerdo,"[Thalía, Natti Natasha]",87,0.799,0.092,94.033,0.0873,0.187,0,4,0.836,7,217653,-4.247,0.772,0,560489422,Thalía Natti Natasha - No Me Acuerdo (Official Video)
spotify:track:3IPJg1sdqLj12kFIndaonN,No Hay Nadie Más,[Sebastian Yatra],79,0.379,0.106,105.108,0.0339,0.861,0,4,0.695,6,199733,-9.096,0.808,1,547810583,Sebastián Yatra - No Hay Nadie Más
spotify:track:1IJH7QjV5V99eJBtKXqGXE,Largado Às Traças - Ao Vivo,[Zé Neto & Cristiano],81,0.869,0.535,121.996,0.0857,0.611,0,4,0.694,3,234961,-5.26,0.786,0,510870574,Zé Neto e Cristiano - LARGADO ÀS TRAÇAS - Zé Neto e Cristiano Acústico
spotify:track:76KDy62J99FKu6ZsxMJy3j,Amor de Verdade,"[MC Kekel, MC Rita]",78,0.724,0.112,120.235,0.0851,0.138,0,5,0.638,7,197333,-7.966,0.461,1,495574634,MC Kekel e MC Rita - Amor de Verdade (KondZilla)
spotify:track:2E124GmJRnBJuXbTb4cPUB,FEFE (feat. Nicki Minaj & Murda Beatz),"[6ix9ine, Nicki Minaj, Murda Beatz]",92,0.387,0.136,125.978,0.412,0.088,0,4,0.931,1,179405,-9.127,0.376,1,490236915,6ix9ine Nicki Minaj Murda Beatz - “FEFE” (Official Music Video)
spotify:track:4w8niZpiMy6qz1mntFA5uM,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","[DJ Snake, Selena Gomez, Ozuna, Cardi B]",100,0.798,0.0618,95.948,0.229,0.153,3.33E-06,4,0.841,1,212500,-4.206,0.591,0,473568025,DJ Snake - Taki Taki ft. Selena Gomez Ozuna Cardi B
spotify:track:3TnhQSRwT3AVMdXw5JPq0x,Nena Maldicion (feat. Lenny Tavarez),"[Paulo Londra, Lenny Tavárez]",82,0.631,0.146,118.969,0.0544,0.178,0,4,0.762,6,228875,-4.837,0.379,1,469271498,Paulo Londra ft Lenny Tavarez - Nena Maldicion (Official Video)
spotify:track:0e7ipj03S05BNilyu5bRzt,rockstar (feat. 21 Savage),"[Post Malone, 21 Savage]",91,0.535,0.131,159.847,0.0898,0.117,6.56E-05,4,0.587,5,218147,-6.09,0.14,0,441070311,Post Malone - rockstar ft. 21 Savage
spotify:track:3swc6WTsr7rl9DqQKQA55C,Psycho (feat. Ty Dolla $ign),"[Post Malone, Ty Dolla $ign]",89,0.559,0.112,140.124,0.117,0.58,0,4,0.739,8,221440,-8.011,0.439,1,437470689,Post Malone - Psycho ft. Ty Dolla $ign
spotify:track:5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),"[Tyga, Offset]",93,0.559,0.101,97.994,0.12,0.0236,0,4,0.884,0,232959,-7.442,0.342,1,436449283,Tyga - Taste (Official Video) ft. Offset
spotify:track:76cy1WJvNGJTj78UqeA5zr,IDGAF,[Dua Lipa],87,0.544,0.0824,97.028,0.0943,0.0403,0,4,0.836,7,217947,-5.975,0.51,1,427744546,Dua Lipa - IDGAF (Official Music Video)
spotify:track:7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),"[Calvin Harris, Dua Lipa]",90,0.862,0.0814,123.994,0.11,0.037,2.19E-05,4,0.791,9,214847,-3.24,0.592,0,421162441,Calvin Harris Dua Lipa - One Kiss (Official Video)
spotify:track:5qFeMRz4TvetPmzjre9Dq7,No Es Justo,"[J Balvin, Zion & Lennox]",85,0.811,0.0871,87.866,0.0714,0.161,0.000363,4,0.684,7,250840,-4.494,0.721,1,404503777,J. Balvin Zion & Lennox - No Es Justo (Official Music Video)
spotify:track:4QtiVmuA88tPQiCOHZuQ5b,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)","[Sofia Reyes, Jason Derulo, De La Ghetto]",84,0.895,0.0501,94.968,0.0589,0.165,0,4,0.792,1,201526,-3.112,0.794,0,403468854,Sofia Reyes - 1 2 3 (feat. Jason Derulo & De La Ghetto) (Official Video)
spotify:track:6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),"[Clean Bandit, Demi Lovato]",91,0.636,0.35,105.005,0.0437,0.0441,6.66E-05,4,0.737,11,222653,-4.546,0.565,0,401310958,Clean Bandit - Solo feat. Demi Lovato (Official Video)
spotify:track:7AFASza1mXqntmGtbxXprO,changes,[XXXTENTACION],90,0.308,0.0984,64.934,0.029,0.883,0,4,0.669,11,121887,-10.068,0.52,1,396869170,XXXTENTACION - changes
spotify:track:7ATATJztoWLcqDAcVVof0C,BEBE,"[6ix9ine, Anuel Aa]",93,0.902,0.125,102.063,0.109,0.172,0,4,0.635,0,217822,-3.559,0.286,1,373929652,BEBE - 6ix9ine Ft. Anuel AA (Prod. By Ronny J) (Official Music Video)
spotify:track:7nD2JPaxIKUdxd2UWgnaGL,Toda - Remix,"[Alex Rose, Rauw Alejandro, Cazzu, Lenny Tavárez, Lyanno]",87,0.452,0.0672,80.04,0.124,0.16,0,4,0.512,5,367680,-7.217,0.364,0,372825070,Alex Rose - Toda (Remix) Ft. Cazzu Lenny Tavarez Lyanno & Rauw Alejandro (Video Oficial)
spotify:track:7uQmJ1jgNzBpATSoWKSPFu,Ya No Tiene Novio,"[Sebastian Yatra, Mau y Ricky]",88,0.832,0.0705,182.184,0.154,0.048,0,4,0.632,7,198933,-1.948,0.784,0,325537843,Sebastian Yatra Mau Y Ricky - Ya No Tiene Novio
spotify:track:7m9OqQk4RVRkw9JJdeAw96,Jocelyn Flores,[XXXTENTACION],91,0.391,0.297,134.021,0.242,0.469,4.13E-06,4,0.872,0,119133,-9.144,0.437,0,322780030,XXXTENTACION - Jocelyn Flores (Audio)
spotify:track:2alIsNw1mqEShbWyO1HXZZ,Por Perro,"[Sebastian Yatra, Luis Figueroa, Lary Over]",77,0.762,0.0852,172.009,0.0501,0.429,0,4,0.684,0,245440,-5.18,0.892,1,320772391,Sebastián Yatra - Por Perro ft. Luis Figueroa Lary Over
spotify:track:4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),"[Kanye West, Lil Pump]",95,0.522,0.259,104.053,0.33,0.0114,0,4,0.901,2,127947,-8.304,0.329,1,320622760,"Kanye West & Lil Pump ft. Adele Givens - ""I Love It"" (Official Music Video)"
spotify:track:3RD0PGolM0mETGHaprwgMn,Culpables,[Manuel Turizo],84,0.31,0.198,177.601,0.296,0.94,5.65E-06,4,0.573,3,233930,-11.134,0.764,1,318427557,Culpables - MTZ Manuel Turizo
spotify:track:6rbhaJsE4uLzpPf8WYSHDK,Asesina,"[Brytiago, Darell]",87,0.663,0.114,94.215,0.27,0.614,0,4,0.845,10,187213,-5.233,0.508,0,317671468,Brytiago X Darell - Asesina 🗡
spotify:track:6tuzPD1zPPvwMbGiD0TBay,Fuleragem,[MC WM],78,0.836,0.113,94.979,0.0506,0.00857,0.00016,4,0.808,8,141474,-2.3,0.755,1,317248935,MC WM - Fuleragem (KondZilla)
spotify:track:74n5d5M21JnC4WJ6gdkggK,Propaganda - Ao Vivo,[Jorge & Mateus],80,0.782,0.399,167.95,0.0605,0.381,0,4,0.614,2,141935,-4.603,0.77,1,299643561,Jorge & Mateus - Propaganda (Terra Sem CEP) (Vídeo Oficial)
spotify:track:6q8Lb50EtqNeeJXXe8mMAH,Culpables,"[Karol G, Anuel Aa]",88,0.801,0.143,130.059,0.0683,0.279,4.71E-06,4,0.728,8,226627,-2.942,0.416,0,292378805,Karol G Anuel AA - Culpables
