song_id,song_title,artist,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
spotify:track:01IQ4aQgOf0Kkq3a273hmO,Funky Friday,"[Dave, Fredo]",82,0.535,0.107,125.066,0.196,0.0783,0.0,4,0.975,1,182741,-7.227,0.671,1
spotify:track:4iZC3zbvagtT4UbvuwH7fQ,Mia Khalifa,[iLOVEFRiDAY],71,0.517,0.315,145.026,0.113,0.23,0.0,4,0.817,1,177188,-9.613,0.541,1
spotify:track:2Y73798F4zbbbvKT02fbtE,Finalidade Era Ficar em Casa,[MC Kevin o Chris],77,0.978,0.0846,149.888,0.198,0.571,0.212,4,0.81,6,185652,-3.949,0.703,1
spotify:track:5iwz1NiezX7WWjnCgY5TH4,Calma - Remix,"[Pedro Capó, Farruko]",79,0.773,0.143,126.899,0.0524,0.323,0.0,4,0.826,11,238200,-4.218,0.761,0
spotify:track:4ej94zqr9xYLbWphCH3TcD,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),"[Free Nationals, Daniel Caesar, Unknown Mortal Orchestra]",65,0.741,0.334,69.709,0.0542,0.284,8.2e-05,4,0.552,11,277046,-5.419,0.718,0
spotify:track:1MEPdOii0cmdHUbxN6L0uQ,6 Figures,[Justin Roberts],68,0.537,0.0747,77.506,0.257,0.135,5.12e-06,4,0.888,1,164342,-7.297,0.422,0
spotify:track:5AdnkoZJuRJCYqYBIzSqFb,Light On,[Maggie Rogers],73,0.569,0.126,102.054,0.0542,0.201,1.38e-05,4,0.657,2,233880,-6.287,0.399,1
spotify:track:4F4TGsDYacEbw4PLAIyJ2e,Skibidi,[Little Big],66,0.758,0.0632,131.995,0.0542,8.14e-05,0.387,4,0.872,0,163283,-6.006,0.91,1
spotify:track:1usoXi4f0BnMART4uActEA,Mocca - Remix,"[Lalo Ebratt, J Balvin, Trapical]",82,0.758,0.388,98.007,0.189,0.213,0.0,4,0.732,11,202876,-1.694,0.78,1
spotify:track:4z2XPrpHz1raJibarWFY7Z,Maybe It's Time,[Bradley Cooper],76,0.282,0.0981,79.776,0.0374,0.798,1.23e-06,4,0.699,7,159293,-7.65,0.359,1
spotify:track:0uL88Lp7C6i2WGHub1zrJ9,Later Bitches,[The Prince Karma],66,0.518,0.342,121.116,0.102,0.000573,0.108,4,0.769,8,247976,-6.563,0.504,1
spotify:track:0s5DNDV6LAKn2u2Ufa3VjQ,Desconocidos,"[Mau y Ricky, Manuel Turizo, Camilo]",80,0.771,0.249,174.006,0.166,0.146,3.29e-06,4,0.709,7,204453,-4.598,0.709,1
spotify:track:4as4XEOR03oGm1STUKl6pa,BBIBBI,[IU],76,0.617,0.3,143.894,0.331,0.241,0.0,4,0.839,7,194426,-4.692,0.821,1
spotify:track:2jPCvYRyIXQf2if8CTyabC,Tappat,[Victor Leksell],73,0.593,0.15,99.935,0.236,0.246,8.04e-06,4,0.786,1,215160,-9.404,0.322,0
spotify:track:42ArfZUgGo3k5btIHp08it,Not Steady,[Paloma Mami],71,0.444,0.105,92.011,0.303,0.207,0.000827,4,0.876,8,190784,-10.904,0.339,0
spotify:track:6LS5QB8GW8raREqEEQPEMs,Forgive Me Friend,"[Smith & Thell, Swedish Jam Factory]",72,0.783,0.187,127.92,0.0318,0.000927,1.12e-06,4,0.589,1,216000,-6.069,0.622,1
spotify:track:1ArLnG0bHaHPXqf08sEKM0,Consequences - orchestra,[Camila Cabello],83,0.289,0.148,104.851,0.0348,0.645,0.0,3,0.547,0,181913,-8.131,0.213,1
spotify:track:3DKpA54hrFIdPN6AtL9HXa,I'll Never Love Again - Film Version - Radio Edit,"[Lady Gaga, Bradley Cooper]",80,0.335,0.0979,109.908,0.0298,0.785,1.25e-06,4,0.45,7,281235,-7.464,0.25,1
spotify:track:4HUqrGAZ5f0gHRor7z9BFc,Black Eyes,[Bradley Cooper],73,0.937,0.815,150.242,0.0834,0.000811,6.37e-05,4,0.373,11,183773,-2.133,0.46,0
spotify:track:3wImXdE4bliIVSEl3lVue1,What I Know Now (feat. Wiz Khalifa),"[THEY., Wiz Khalifa]",69,0.698,0.18,80.024,0.0485,0.0812,1.17e-06,4,0.615,6,180853,-3.212,0.437,1
spotify:track:3NyovXfcpc8PDWWKH7xEDs,S.O.S. (Sawed Off Shotgun),[The Glorious Sons],60,0.961,0.138,148.126,0.065,0.00428,0.0,4,0.568,9,195173,-2.182,0.924,1
