song_id,song_title,artist,popularity,total_no_streams,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
spotify:track:1nX9KhK3Fff27SnrIor2Yb,04:00,"['2 Chainz', 'Travis Scott']",70.00,"53,208,336.00",0.50,0.16,75.01,0.43,0.12,0.00,4.00,0.80,1.00,"255,560.00",-7.21,0.23,1.00
spotify:track:3uvypVUsiIr1B0BccIcsEh,06:00,"['J Balvin', 'Farruko']",68.00,"50,235,662.00",0.75,0.27,175.97,0.10,0.15,0.00,4.00,0.75,5.00,"243,227.00",-5.05,0.73,0.00
spotify:track:2wOXxtHZgRkkrkEbKLzzqs,1.5,['21 Savage'],76.00,"5,894,178.00",0.52,0.45,84.02,0.36,0.00,0.00,4.00,0.89,1.00,"148,656.00",-8.35,0.31,1.00
spotify:track:4uCAKqQQYJaIvyzq4sZkaO,9,['Drake'],46.00,"20,334,413.00",0.71,0.24,99.99,0.04,0.00,0.00,4.00,0.70,2.00,"255,787.00",-7.38,0.04,1.00
spotify:track:3JjnGLK8IxkNLvo8Lb3KOM,18,['One Direction'],68.00,"6,363,369.00",0.58,0.12,124.04,0.03,0.22,0.00,4.00,0.68,6.00,"248,360.00",-7.76,0.22,0.00
spotify:track:4amvcCLMlTiU6mQfwFGRl8,21,['Hunter Hayes'],50.00,"11,895,050.00",0.90,0.22,160.10,0.04,0.06,0.00,4.00,0.50,11.00,"194,480.00",-4.37,0.94,1.00
spotify:track:4if4AqzRQgEtTF1xXddmoc,23,"['Mike WiLL Made-It', 'Miley Cyrus', 'Wiz Khalifa', 'Juicy J']",44.00,"1,983,937.00",0.61,0.11,140.02,0.06,0.00,0.00,4.00,0.86,9.00,"252,080.00",-5.31,0.32,1.00
spotify:track:6tarvNiKnEjYMj1VZhlDqR,66,"['Lil Yachty', 'Trippie Redd']",71.00,"26,007,221.00",0.72,0.21,148.06,0.27,0.05,0.00,4.00,0.67,5.00,"153,475.00",-4.31,0.25,0.00
spotify:track:794QVQtFNy7hvtjQP1keQd,1942,"['G-Eazy', 'Yo Gotti', 'YBN Nahmir']",75.00,"28,985,911.00",0.65,0.13,162.90,0.25,0.02,0.00,4.00,0.82,4.00,"213,080.00",-5.12,0.84,0.00
spotify:track:0CZ8lquoTX2Dkg7Ak2inwA,1950,['King Princess'],82.00,"93,339,639.00",0.54,0.16,71.91,0.11,0.65,0.00,4.00,0.60,4.00,"225,133.00",-7.04,0.27,1.00
spotify:track:05mAIVLkIWc2d1UBYZBCp8,1999,"['Charli XCX', 'Troye Sivan']",82.00,"37,581,668.00",0.74,0.23,124.02,0.03,0.02,0.00,4.00,0.74,7.00,"189,000.00",-4.59,0.66,1.00
spotify:track:2BgEsaKNfHUdlh97KmvFyo,2002,['Anne-Marie'],83.00,"385,889,556.00",0.68,0.14,96.13,0.12,0.04,0.00,4.00,0.70,1.00,"186,987.00",-2.88,0.60,0.00
spotify:track:3Z2sglqDj1rDRMF5x0Sz2R,3005,['Childish Gambino'],71.00,"946,484.00",0.46,0.10,165.99,0.33,0.15,0.00,4.00,0.47,6.00,"234,213.00",-6.47,0.62,0.00
spotify:track:2fkeWbM6iqTw7oGHTYm2lw,4422,"['Drake', 'Sampha']",63.00,"29,253,046.00",0.25,0.11,111.97,0.04,0.50,0.02,4.00,0.62,11.00,"186,293.00",-12.29,0.22,0.00
spotify:track:40IiSjljbAhrSbdJ3HxSfH,March 14,['Drake'],14.00,"14,876,145.00",0.42,0.36,91.96,0.39,0.40,0.00,4.00,0.50,10.00,"309,560.00",-7.35,0.31,0.00
spotify:track:02M6vucOvmRfMxTXDUwRXu,7/11,['Beyoncé'],72.00,"140,962,617.00",0.71,0.13,136.02,0.13,0.01,0.00,4.00,0.75,9.00,"213,507.00",-5.14,0.56,0.00
spotify:track:38td8VabuKlQt72Q2VnhbO,134340,['BTS'],64.00,"5,367,758.00",0.69,0.17,106.02,0.05,0.15,0.00,4.00,0.66,11.00,"230,063.00",-6.47,0.65,0.00
spotify:track:19WjVVgXjdKXfLXoaDPwTM,...Ready For It?,['Taylor Swift'],9.00,"136,086,748.00",0.77,0.16,160.05,0.14,0.06,0.00,4.00,0.62,2.00,"208,198.00",-6.50,0.41,1.00
spotify:track:7aGvXYqtaMqUhILKYq1PZF,*******,"['Eminem', 'Skylar Grey']",0.00,"1,074,986.00",0.91,0.69,174.08,0.34,0.46,0.00,4.00,0.54,1.00,"290,683.00",-2.35,0.52,1.00
spotify:track:7ehH993HyaSs8LjIsOpbGA,#icanteven,"['The Neighbourhood', 'French Montana']",1.00,"5,462,452.00",0.63,0.08,113.96,0.09,0.10,0.00,4.00,0.54,6.00,"234,253.00",-9.41,0.16,0.00
spotify:track:1HOlb9rdNOmy9b1Fakicjo,#SELFIE,['The Chainsmokers'],63.00,"63,887,278.00",0.92,0.08,127.97,0.23,0.01,0.00,4.00,0.81,0.00,"183,750.00",-3.28,0.65,1.00
spotify:track:6jEhWcVKEgbczzrU4p2X5u,#SELFIE - Original Mix,['The Chainsmokers'],1.00,"1,715,958.00",0.92,0.08,127.96,0.25,0.01,0.00,4.00,0.79,0.00,"183,750.00",-3.26,0.66,1.00
