,index,activation,solver,alpha,learning_rate,"hidden_layer_sizes, score"
0,identity,lbfgs,1e-05,constant,"(50, 50, 50)",0.6107843137254901
1,identity,lbfgs,1e-05,constant,"(50, 100, 50)",0.6653594771241831
2,identity,lbfgs,1e-05,constant,"(100,)",0.6117647058823529
3,identity,lbfgs,1e-05,invscaling,"(50, 50, 50)",0.6513071895424836
4,identity,lbfgs,1e-05,invscaling,"(50, 100, 50)",0.6147058823529412
5,identity,lbfgs,1e-05,invscaling,"(100,)",0.5483660130718954
6,identity,lbfgs,1e-05,adaptive,"(50, 50, 50)",0.576797385620915
7,identity,lbfgs,1e-05,adaptive,"(50, 100, 50)",0.6794117647058824
8,identity,lbfgs,1e-05,adaptive,"(100,)",0.5875816993464051
9,identity,lbfgs,0.0001,constant,"(50, 50, 50)",0.6467320261437909
10,identity,lbfgs,0.0001,constant,"(50, 100, 50)",0.5669934640522876
11,identity,lbfgs,0.0001,constant,"(100,)",0.5937908496732026
12,identity,lbfgs,0.0001,invscaling,"(50, 50, 50)",0.657516339869281
13,identity,lbfgs,0.0001,invscaling,"(50, 100, 50)",0.5993464052287582
14,identity,lbfgs,0.0001,invscaling,"(100,)",0.5888888888888888
15,identity,lbfgs,0.0001,adaptive,"(50, 50, 50)",0.5741830065359477
16,identity,lbfgs,0.0001,adaptive,"(50, 100, 50)",0.6062091503267973
17,identity,lbfgs,0.0001,adaptive,"(100,)",0.5996732026143791
18,identity,lbfgs,1.0,constant,"(50, 50, 50)",0.6388888888888888
19,identity,lbfgs,1.0,constant,"(50, 100, 50)",0.6330065359477124
20,identity,lbfgs,1.0,constant,"(100,)",0.6437908496732027
21,identity,lbfgs,1.0,invscaling,"(50, 50, 50)",0.5620915032679739
22,identity,lbfgs,1.0,invscaling,"(50, 100, 50)",0.6346405228758171
23,identity,lbfgs,1.0,invscaling,"(100,)",0.65
24,identity,lbfgs,1.0,adaptive,"(50, 50, 50)",0.6486928104575164
25,identity,lbfgs,1.0,adaptive,"(50, 100, 50)",0.5624183006535948
26,identity,lbfgs,1.0,adaptive,"(100,)",0.6055555555555556
27,identity,lbfgs,0.001,constant,"(50, 50, 50)",0.634640522875817
28,identity,lbfgs,0.001,constant,"(50, 100, 50)",0.6297385620915031
29,identity,lbfgs,0.001,constant,"(100,)",0.5836601307189543
30,identity,lbfgs,0.001,invscaling,"(50, 50, 50)",0.634313725490196
31,identity,lbfgs,0.001,invscaling,"(50, 100, 50)",0.6892156862745098
32,identity,lbfgs,0.001,invscaling,"(100,)",0.5836601307189542
33,identity,lbfgs,0.001,adaptive,"(50, 50, 50)",0.6088235294117648
34,identity,lbfgs,0.001,adaptive,"(50, 100, 50)",0.6362745098039215
35,identity,lbfgs,0.001,adaptive,"(100,)",0.6339869281045751
36,identity,lbfgs,0.01,constant,"(50, 50, 50)",0.6588235294117648
37,identity,lbfgs,0.01,constant,"(50, 100, 50)",0.6143790849673202
38,identity,lbfgs,0.01,constant,"(100,)",0.6473856209150327
39,identity,lbfgs,0.01,invscaling,"(50, 50, 50)",0.6473856209150327
40,identity,lbfgs,0.01,invscaling,"(50, 100, 50)",0.60359477124183
41,identity,lbfgs,0.01,invscaling,"(100,)",0.5568627450980392
42,identity,lbfgs,0.01,adaptive,"(50, 50, 50)",0.6029411764705882
43,identity,lbfgs,0.01,adaptive,"(50, 100, 50)",0.6013071895424837
44,identity,lbfgs,0.01,adaptive,"(100,)",0.673202614379085
45,identity,sgd,1e-05,constant,"(50, 50, 50)",0.6127450980392156
46,identity,sgd,1e-05,constant,"(50, 100, 50)",0.615359477124183
47,identity,sgd,1e-05,constant,"(100,)",0.6588235294117646
48,identity,sgd,1e-05,invscaling,"(50, 50, 50)",0.5761437908496732
49,identity,sgd,1e-05,invscaling,"(50, 100, 50)",0.4120915032679739
50,identity,sgd,1e-05,invscaling,"(100,)",0.5444444444444445
51,identity,sgd,1e-05,adaptive,"(50, 50, 50)",0.6294117647058823
52,identity,sgd,1e-05,adaptive,"(50, 100, 50)",0.5918300653594771
53,identity,sgd,1e-05,adaptive,"(100,)",0.5045751633986929
54,identity,sgd,0.0001,constant,"(50, 50, 50)",0.6441176470588236
55,identity,sgd,0.0001,constant,"(50, 100, 50)",0.6232026143790849
56,identity,sgd,0.0001,constant,"(100,)",0.6669934640522877
57,identity,sgd,0.0001,invscaling,"(50, 50, 50)",0.5810457516339869
58,identity,sgd,0.0001,invscaling,"(50, 100, 50)",0.41633986928104577
59,identity,sgd,0.0001,invscaling,"(100,)",0.5696078431372549
60,identity,sgd,0.0001,adaptive,"(50, 50, 50)",0.5679738562091503
61,identity,sgd,0.0001,adaptive,"(50, 100, 50)",0.6277777777777779
62,identity,sgd,0.0001,adaptive,"(100,)",0.5542483660130719
63,identity,sgd,1.0,constant,"(50, 50, 50)",0.5862745098039215
64,identity,sgd,1.0,constant,"(50, 100, 50)",0.5836601307189542
65,identity,sgd,1.0,constant,"(100,)",0.5738562091503268
66,identity,sgd,1.0,invscaling,"(50, 50, 50)",0.6369281045751632
67,identity,sgd,1.0,invscaling,"(50, 100, 50)",0.41013071895424835
68,identity,sgd,1.0,invscaling,"(100,)",0.5065359477124183
69,identity,sgd,1.0,adaptive,"(50, 50, 50)",0.6238562091503267
70,identity,sgd,1.0,adaptive,"(50, 100, 50)",0.6091503267973856
71,identity,sgd,1.0,adaptive,"(100,)",0.5895424836601307
72,identity,sgd,0.001,constant,"(50, 50, 50)",0.5957516339869281
73,identity,sgd,0.001,constant,"(50, 100, 50)",0.6088235294117647
74,identity,sgd,0.001,constant,"(100,)",0.5843137254901961
75,identity,sgd,0.001,invscaling,"(50, 50, 50)",0.550326797385621
76,identity,sgd,0.001,invscaling,"(50, 100, 50)",0.44836601307189533
77,identity,sgd,0.001,invscaling,"(100,)",0.5428104575163398
78,identity,sgd,0.001,adaptive,"(50, 50, 50)",0.5990196078431372
79,identity,sgd,0.001,adaptive,"(50, 100, 50)",0.6101307189542484
80,identity,sgd,0.001,adaptive,"(100,)",0.6839869281045752
81,identity,sgd,0.01,constant,"(50, 50, 50)",0.6748366013071896
82,identity,sgd,0.01,constant,"(50, 100, 50)",0.6470588235294117
83,identity,sgd,0.01,constant,"(100,)",0.6415032679738562
84,identity,sgd,0.01,invscaling,"(50, 50, 50)",0.60359477124183
85,identity,sgd,0.01,invscaling,"(50, 100, 50)",0.4450980392156863
86,identity,sgd,0.01,invscaling,"(100,)",0.6019607843137255
87,identity,sgd,0.01,adaptive,"(50, 50, 50)",0.6084967320261438
88,identity,sgd,0.01,adaptive,"(50, 100, 50)",0.6777777777777778
89,identity,sgd,0.01,adaptive,"(100,)",0.6032679738562092
90,identity,adam,1e-05,constant,"(50, 50, 50)",0.6718954248366014
91,identity,adam,1e-05,constant,"(50, 100, 50)",0.6179738562091504
92,identity,adam,1e-05,constant,"(100,)",0.5862745098039215
93,identity,adam,1e-05,invscaling,"(50, 50, 50)",0.5931372549019608
94,identity,adam,1e-05,invscaling,"(50, 100, 50)",0.60359477124183
95,identity,adam,1e-05,invscaling,"(100,)",0.5875816993464053
96,identity,adam,1e-05,adaptive,"(50, 50, 50)",0.6323529411764706
97,identity,adam,1e-05,adaptive,"(50, 100, 50)",0.6490196078431373
98,identity,adam,1e-05,adaptive,"(100,)",0.5372549019607844
99,identity,adam,0.0001,constant,"(50, 50, 50)",0.5964052287581699
100,identity,adam,0.0001,constant,"(50, 100, 50)",0.6235294117647059
101,identity,adam,0.0001,constant,"(100,)",0.6411764705882353
102,identity,adam,0.0001,invscaling,"(50, 50, 50)",0.5650326797385621
103,identity,adam,0.0001,invscaling,"(50, 100, 50)",0.6758169934640522
104,identity,adam,0.0001,invscaling,"(100,)",0.626797385620915
105,identity,adam,0.0001,adaptive,"(50, 50, 50)",0.5830065359477123
