song_id,song_title,artist,popularity,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
spotify:track:01IQ4aQgOf0Kkq3a273hmO,Funky Friday,"[Dave, Fredo]",82,0.535,0.107,125.066,0.196,0.0783,0.0,4,0.975,1,182741,-7.227,0.671,1
spotify:track:2dpaYNEQHiRxtZbfNsse99,Happier,"[Marshmello, Bastille]",98,0.792,0.167,100.015,0.0452,0.191,0.0,4,0.687,5,214290,-2.749,0.671,1
spotify:track:0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),"[benny blanco, Halsey, Khalid]",96,0.68,0.116,89.391,0.321,0.555,0.0,4,0.56,6,173800,-7.648,0.319,0
spotify:track:5N5k9nd479b1xpDZ4usjrg,Promises (with Sam Smith),"[Calvin Harris, Sam Smith, Jessie Reyez]",96,0.768,0.325,123.07,0.0394,0.0119,4.91e-06,4,0.781,11,213309,-5.991,0.486,1
spotify:track:4S8d14HvHb70ImctNgVzQQ,I Love It (& Lil Pump),"[Kanye West, Lil Pump]",96,0.522,0.259,104.053,0.33,0.0114,0.0,4,0.901,2,127947,-8.304,0.329,1
spotify:track:5N4erncE7kuUccm7zEmwzk,Electricity (with Dua Lipa),"[Silk City, Dua Lipa, Diplo, Mark Ronson]",92,0.67,0.338,118.159,0.0473,0.0104,3.33e-06,4,0.588,0,238173,-6.439,0.505,1
spotify:track:6xtcFXSo8H9BZN637BMVKS,Let You Love Me,[Rita Ora],91,0.854,0.0773,94.419,0.198,0.288,0.0,4,0.531,10,190000,-3.149,0.456,1
spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,"[Dynoro, Gigi D'Agostino]",95,0.77,0.118,125.905,0.149,0.176,1.1e-05,4,0.694,6,184560,-5.335,0.163,1
spotify:track:6X6SdJzxyw7GzxwP2fr9WV,All I Am,[Jess Glynne],84,0.669,0.184,122.007,0.0373,0.0445,0.0,4,0.74,0,218868,-5.199,0.536,1
spotify:track:5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),"[Tyga, Offset]",93,0.559,0.101,97.994,0.12,0.0236,0.0,4,0.884,0,232959,-7.442,0.342,1
spotify:track:2VxeLyX666F8uXCJ0dZF8B,Shallow,"[Lady Gaga, Bradley Cooper]",92,0.385,0.231,95.799,0.0308,0.371,0.0,4,0.572,7,215733,-6.362,0.323,1
spotify:track:1rqqCSm0Qe4I9rUvWncaom,High Hopes,[Panic! At The Disco],91,0.904,0.064,82.014,0.0618,0.193,0.0,4,0.579,5,190947,-2.729,0.681,1
spotify:track:4M8x1TR36VMQMFMbGCdoyA,Back & Forth,"[MK, Jonas Blue, Becky Hill]",81,0.816,0.0222,121.993,0.0322,0.0181,0.0,4,0.684,10,196215,-5.211,0.702,0
spotify:track:3EPXxR3ImUwfayaurPi3cm,Be Alright,[Dean Lewis],94,0.586,0.0813,126.684,0.0362,0.697,0.0,4,0.553,11,196373,-6.319,0.443,1
spotify:track:7K7MUBCnzgBAvMVW2RTWNs,Body (feat. brando),"[Loud Luxury, brando]",71,0.764,0.0543,121.958,0.038,0.0476,9.44e-05,4,0.752,1,163216,-4.399,0.582,1
spotify:track:0s3nnoMeVWz3989MkNQiRf,Lucid Dreams,[Juice WRLD],95,0.566,0.34,83.903,0.2,0.349,0.0,4,0.511,6,239836,-7.23,0.218,0
spotify:track:4ofwffwvvnbSkrMSCKQDaC,Shotgun,[George Ezra],91,0.735,0.242,115.741,0.0457,0.286,0.0,4,0.672,5,201287,-4.733,0.754,1
