Pos,Artist and Title,Wks,T10,Pk,(x?),PkStreams,Total
1.0,Ed Sheeran - Shape of You||../track/7qiZfU4dY1lWllzX7mPBI3.html,109.0,34,1.0,(x14),"64,217,796","2,052,905,128"
2.0,Drake - One Dance||../track/1xznGGDReH1oQq0xzbwXa3.html,129.0,26,1.0,(x14),"47,782,311","1,555,622,901"
3.0,The Chainsmokers - Closer||../track/7BKLCZ1jbUBVqRi2FVlTVw.html,131.0,28,1.0,(x11),"46,300,740","1,454,865,291"
4.0,Post Malone - rockstar||../track/7wGoVu4Dady5GV0Sv4UIsx.html,73.0,27,1.0,(x17),"46,995,997","1,422,808,226"
5.0,Drake - God's Plan||../track/2XW4DbS6NddZxRPm5rMCeY.html,55.0,21,1.0,(x11),"54,891,573","1,189,072,288"
6.0,Ed Sheeran - Thinking Out Loud||../track/34gCuhDGsG4bRPIf9bb02f.html,220.0,22,1.0,(x2),"12,966,533","1,162,454,221"
7.0,Camila Cabello - Havana||../track/1rfofaqEpACxVEHIZBJe6W.html,79.0,25,1.0,(x1),"33,129,706","1,132,732,527"
8.0,Luis Fonsi - Despacito - Remix||../track/5CtI0qwDJkDQGwXD1H1cLb.html,64.0,19,1.0,(x14),"54,729,818","1,092,396,262"
9.0,Dua Lipa - New Rules||../track/2ekn2ttSfGqwhhate0LSR0.html,83.0,23,2.0,(x3),"26,215,788","1,058,108,090"
10.0,James Arthur - Say You Won't Let Go||../track/5uCax9HTNlzGybIStD3vDh.html,124.0,15,7.0,,"19,297,939","1,019,754,755"
11.0,Ed Sheeran - Perfect||../track/0tgVpDi06FyKpA1z0VMD4v.html,101.0,15,4.0,,"24,763,619","1,010,676,446"
12.0,Kendrick Lamar - HUMBLE.||../track/7KXjTSCq5nL1LoYtL7XAwS.html,93.0,12,1.0,(x1),"41,269,524","976,755,908"
13.0,Lil Uzi Vert - XO TOUR Llif3||../track/7GX5flRQZVHRAGd6B4TmDO.html,98.0,2,10.0,,"19,373,632","971,053,597"
14.0,Ed Sheeran - Photograph||../track/1HNkqx9Ahdgi1Ixy2xkKkL.html,210.0,,15.0,,"8,088,843","968,703,365"
15.0,Justin Bieber - Love Yourself||../track/3hB5DgAiMAQ4DzYbsMq1IT.html,108.0,22,1.0,(x3),"28,218,558","967,608,716"
16.0,The Chainsmokers - Something Just Like This||../track/6RUKPb4LETWmmr3iAEQktW.html,95.0,12,2.0,(x2),"33,173,199","956,011,808"
17.0,The Weeknd - Starboy||../track/5aAx2yezTd8zXrkmtKl66Z.html,84.0,21,1.0,(x6),"35,360,281","952,641,510"
18.0,Justin Bieber - Sorry||../track/69bp2EbF7Q2rqc5N3ylezZ.html,92.0,21,1.0,(x8),"34,283,993","945,730,140"
19.0,Imagine Dragons - Thunder||../track/0tKcYR2II1VCQWT79i5NrW.html,93.0,3,8.0,,"21,076,623","943,161,348"
20.0,The Chainsmokers - Don't Let Me Down||../track/1i1fxkWeaMmKEB4T7zqbzK.html,93.0,22,3.0,(x2),"20,867,984","937,382,310"
21.0,Major Lazer - Lean On||../track/4WjH9Bzt3kx7z8kl0awxh4.html,120.0,33,1.0,(x10),"18,924,031","916,566,107"
22.0,Imagine Dragons - Believer||../track/0CcQNd8CINkwQfe1RDtGV6.html,105.0,,16.0,,"16,864,827","915,010,331"
23.0,Mike Posner - I Took A Pill In Ibiza - Seeb Remix||../track/7vfWgVGiLgnGbInU5lvSQg.html,99.0,22,2.0,(x3),"23,018,299","891,175,647"
24.0,Post Malone - Congratulations||../track/3a1lNhkSLSkpJE4MSHpDu9.html,107.0,,20.0,,"15,632,229","889,943,324"
25.0,French Montana - Unforgettable||../track/3B54sVLJ402zGa6Xm4YGNe.html,78.0,15,3.0,(x1),"25,652,839","873,238,651"
26.0,DJ Snake - Let Me Love You||../track/4pdPtRcBmOSQDlJ3Fk945m.html,67.0,22,2.0,(x1),"32,792,765","856,986,795"
27.0,XXXTENTACION - SAD!||../track/3ee8Jmje8o58CHK66QrVC2.html,49.0,12,1.0,(x2),"38,010,231","850,484,281"
28.0,Major Lazer - Cold Water||../track/6DNtNfH8hXkqOX1sjqmI7p.html,60.0,17,1.0,(x5),"39,612,302","815,313,617"
29.0,Luis Fonsi - Despacito (Featuring Daddy Yankee)||../track/4aWmUDTfIPGksMNLV2rQP2.html,62.0,15,4.0,,"27,082,220","802,424,995"
30.0,Sia - Cheap Thrills||../track/27SdWb2rFzO6GWiYDBTD9j.html,83.0,18,3.0,(x1),"22,704,478","771,328,890"
31.0,Justin Bieber - What Do You Mean?||../track/3pzjHKrQSvXGHQ98dx18HI.html,76.0,24,1.0,(x8),"29,264,063","767,171,936"
32.0,Post Malone - Better Now||../track/7dt6x5M1jzdTEt8oCbisTK.html,41.0,11,1.0,(x6),"40,788,286","760,949,782"
33.0,Post Malone - Psycho||../track/3swc6WTsr7rl9DqQKQA55C.html,50.0,14,2.0,(x6),"45,142,484","751,386,196"
34.0,Drake - In My Feelings||../track/2G7V7zsVDxg1yRsu7Ew9RJ.html,32.0,15,1.0,(x8),"67,499,798","749,976,724"
35.0,Bruno Mars - That's What I Like||../track/0KKkJNfGyhkQ5aFogxQAPU.html,85.0,9,6.0,,"23,602,385","733,976,807"
36.0,Cardi B - I Like It||../track/58q2HKrzhC3ozto2nDdN4z.html,44.0,14,2.0,(x1),"27,369,377","726,463,464"
