song_id,song_title,artist,popularity,total_no_streams,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration,loudness,valence,mode
spotify:track:7qiZfU4dY1lWllzX7mPBI3,Shape of You,['Ed Sheeran'],85,2052905128,0.652,0.0931,95.977,0.0802,0.581,0.0,4,0.825,1,233713,-3.183,0.931,0
spotify:track:1xznGGDReH1oQq0xzbwXa3,One Dance,"['Drake', 'WizKid', 'Kyla']",25,1555622901,0.619,0.351,103.989,0.0532,0.00784,0.00423,4,0.791,1,173987,-5.886,0.371,1
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,Closer,"['The Chainsmokers', 'Halsey']",84,1454865291,0.524,0.111,95.01,0.0338,0.414,0.0,4,0.748,8,244960,-5.599,0.661,1
spotify:track:7wGoVu4Dady5GV0Sv4UIsx,rockstar,"['Post Malone', '21 Savage']",26,1422808226,0.522,0.142,159.772,0.0984,0.13,9.03e-05,4,0.577,5,218320,-6.594,0.119,0
spotify:track:2XW4DbS6NddZxRPm5rMCeY,God's Plan,['Drake'],28,1189072288,0.448,0.558,77.176,0.103,0.0309,8.67e-05,4,0.758,7,198960,-9.441,0.373,1
spotify:track:34gCuhDGsG4bRPIf9bb02f,Thinking Out Loud,['Ed Sheeran'],83,1162454221,0.445,0.184,78.998,0.0295,0.474,0.0,4,0.781,2,281560,-6.061,0.591,1
spotify:track:1rfofaqEpACxVEHIZBJe6W,Havana,"['Camila Cabello', 'Young Thug']",86,1132732527,0.523,0.132,104.988,0.03,0.184,3.56e-05,4,0.765,2,217307,-4.333,0.394,1
spotify:track:5CtI0qwDJkDQGwXD1H1cLb,Despacito - Remix,"['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber']",30,1092396262,0.815,0.0924,88.931,0.12,0.229,0.0,4,0.694,2,228827,-4.328,0.813,1
spotify:track:2ekn2ttSfGqwhhate0LSR0,New Rules,['Dua Lipa'],84,1058108090,0.7,0.153,116.073,0.0694,0.00261,1.56e-05,4,0.762,9,209320,-6.021,0.608,0
spotify:track:5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,['James Arthur'],83,1019754755,0.557,0.0902,85.043,0.059,0.695,0.0,4,0.358,10,211467,-7.398,0.494,1
spotify:track:0tgVpDi06FyKpA1z0VMD4v,Perfect,['Ed Sheeran'],87,1010676446,0.448,0.106,95.05,0.0232,0.163,0.0,3,0.599,8,263400,-6.312,0.168,1
spotify:track:7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,['Kendrick Lamar'],84,976755908,0.621,0.0958,150.011,0.102,0.000282,5.39e-05,4,0.908,1,177000,-6.638,0.421,0
spotify:track:7GX5flRQZVHRAGd6B4TmDO,XO TOUR Llif3,['Lil Uzi Vert'],85,971053597,0.75,0.109,155.096,0.231,0.00264,0.0,4,0.732,11,182707,-6.366,0.401,0
spotify:track:1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,['Ed Sheeran'],83,968703365,0.379,0.0986,107.989,0.0476,0.607,0.000464,4,0.614,4,258987,-10.48,0.201,1
spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,Love Yourself,['Justin Bieber'],29,967608716,0.378,0.28,100.418,0.438,0.835,0.0,4,0.609,4,233720,-9.828,0.515,1
spotify:track:6RUKPb4LETWmmr3iAEQktW,Something Just Like This,"['The Chainsmokers', 'Coldplay']",81,956011808,0.635,0.164,103.019,0.0317,0.0498,1.44e-05,4,0.617,11,247160,-6.769,0.446,0
spotify:track:5aAx2yezTd8zXrkmtKl66Z,Starboy,"['The Weeknd', 'Daft Punk']",22,952641510,0.594,0.134,186.054,0.282,0.165,3.49e-06,4,0.681,7,230453,-7.028,0.535,1
spotify:track:69bp2EbF7Q2rqc5N3ylezZ,Sorry,['Justin Bieber'],27,945730140,0.76,0.299,99.945,0.045,0.0797,0.0,4,0.654,0,200787,-3.669,0.41,0
spotify:track:0tKcYR2II1VCQWT79i5NrW,Thunder,['Imagine Dragons'],28,943161348,0.81,0.155,167.88,0.0479,0.00683,0.21,4,0.6,0,187147,-4.749,0.298,1
spotify:track:1i1fxkWeaMmKEB4T7zqbzK,Don't Let Me Down,"['The Chainsmokers', 'Daya']",80,937382310,0.869,0.136,159.803,0.172,0.157,0.00508,4,0.532,11,208373,-5.094,0.422,1
spotify:track:4WjH9Bzt3kx7z8kl0awxh4,Lean On (feat. MØ & DJ Snake),"['Major Lazer', 'MØ', 'DJ Snake']",15,916566107,0.809,0.565,98.007,0.0625,0.00346,0.00123,4,0.723,7,176561,-3.081,0.274,0
spotify:track:0CcQNd8CINkwQfe1RDtGV6,Believer,['Imagine Dragons'],24,915010331,0.787,0.14,124.982,0.108,0.0524,0.0,4,0.779,10,204347,-4.305,0.708,0
spotify:track:7vfWgVGiLgnGbInU5lvSQg,I Took A Pill In Ibiza - Seeb Remix,"['Mike Posner', 'Seeb']",20,891175647,0.79,0.0875,102.013,0.0893,0.037,9.95e-06,4,0.673,7,199227,-4.663,0.705,0
spotify:track:3a1lNhkSLSkpJE4MSHpDu9,Congratulations,"['Post Malone', 'Quavo']",85,889943324,0.804,0.253,123.146,0.0363,0.215,0.0,4,0.63,6,220293,-4.183,0.492,1
spotify:track:3B54sVLJ402zGa6Xm4YGNe,Unforgettable,"['French Montana', 'Swae Lee']",83,873238651,0.769,0.104,97.985,0.123,0.0293,0.0101,4,0.726,6,233902,-5.043,0.733,1
spotify:track:4pdPtRcBmOSQDlJ3Fk945m,Let Me Love You,"['DJ Snake', 'Justin Bieber']",28,856986795,0.718,0.122,199.864,0.0576,0.0784,1.02e-05,4,0.476,8,205947,-5.309,0.142,1
spotify:track:3ee8Jmje8o58CHK66QrVC2,SAD!,['XXXTENTACION'],91,850484281,0.613,0.123,75.023,0.145,0.258,0.00372,4,0.74,8,166606,-4.88,0.473,1
spotify:track:6DNtNfH8hXkqOX1sjqmI7p,Cold Water (feat. Justin Bieber & MØ),"['Major Lazer', 'Justin Bieber', 'MØ']",47,815313617,0.798,0.156,92.943,0.0432,0.0736,0.0,4,0.608,6,185352,-5.092,0.501,0
spotify:track:4aWmUDTfIPGksMNLV2rQP2,Despacito (Featuring Daddy Yankee),"['Luis Fonsi', 'Daddy Yankee']",27,802424995,0.786,0.112,177.833,0.17,0.209,0.0,4,0.66,2,228200,-4.757,0.846,1
spotify:track:27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,['Sia'],76,771328890,0.698,0.0907,89.976,0.105,0.0472,0.00143,4,0.628,6,211667,-5.608,0.732,0
spotify:track:3pzjHKrQSvXGHQ98dx18HI,What Do You Mean?,['Justin Bieber'],23,767171936,0.567,0.0811,125.02,0.0956,0.59,0.00142,4,0.845,5,205680,-8.118,0.793,0
